DOW MON DY HH:MM:SS YYYY UTC-OFFSET  EVTTYPE    POINT   MMI   STATE          DESCRIPTION
Thu Jan 01 00:06:22 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:24 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:03:03 1970(UTC+00:00)  VELEVENT   05034   001   Clear          High Return Humidity
Thu Jan 01 00:03:14 1970(UTC+00:00)  VELEVENT   05034   001   Warning        High Return Humidity
Thu Jan 01 00:03:14 1970(UTC+00:00)  VELEVENT   05034   001   Warning        High Return Humidity
Thu Jan 01 00:06:24 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:16:51 1970(UTC+00:00)  VELEVENT   05034   001   Warning        High Return Humidity
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:22 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:22 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:22 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:24 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:24 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:24 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:24 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:02:58 1970(UTC+00:00)  VELEVENT   05034   001   Clear          High Return Humidity
Thu Jan 01 00:03:08 1970(UTC+00:00)  VELEVENT   05034   001   Warning        High Return Humidity
Thu Jan 01 00:03:08 1970(UTC+00:00)  VELEVENT   05034   001   Warning        High Return Humidity
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:24 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:24 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:24 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:24 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
